1 0 0 0 0 | 1 0
1 0 0 0 1 | 1 1
1 0 0 1 0 | 1 2
1 0 0 1 1 | 1 3
1 0 1 0 0 | 1 4
1 0 1 0 1 | 1 5
1 0 1 1 0 | 1 6
1 0 1 1 1 | 1 7
1 1 0 0 0 | 1 8
1 1 0 0 1 | 1 9
1 1 0 1 0 | 1 10
1 1 0 1 1 | 1 11
1 1 1 0 0 | 1 12
1 1 1 0 1 | 1 13
1 1 1 1 0 | 1 14
1 1 1 1 1 | 1 15
2 0 0 0 1 | 1 16
2 0 0 1 0 | 1 17
2 0 0 1 1 | 1 18
2 0 0 1 2 | 1 19
2 0 0 2 1 | 1 20
2 0 1 0 0 | 1 21
2 0 1 0 1 | 1 22
2 0 1 0 2 | 1 23
2 0 1 1 0 | 1 24
2 0 1 1 1 | 1 25
2 0 1 1 2 | 1 26
2 0 1 2 0 | 1 27
2 0 1 2 1 | 1 28
2 0 1 2 2 | 1 29
2 0 2 0 1 | 1 30
2 0 2 1 0 | 1 31
2 0 2 1 1 | 1 32
2 0 2 1 2 | 1 33
2 0 2 2 1 | 1 34
2 1 0 0 0 | 1 35
2 1 0 0 1 | 1 36
2 1 0 0 2 | 1 37
2 1 0 1 0 | 1 38
2 1 0 1 1 | 1 39
2 1 0 1 2 | 1 40
2 1 0 2 0 | 1 41
2 1 0 2 1 | 1 42
2 1 0 2 2 | 1 43
2 1 1 0 0 | 1 44
2 1 1 0 1 | 1 45
2 1 1 0 2 | 1 46
2 1 1 1 0 | 1 47
2 1 1 1 1 | 1 48
2 1 1 1 2 | 1 49
2 1 1 2 0 | 1 50
2 1 1 2 1 | 1 51
2 1 1 2 2 | 1 52
2 1 2 0 0 | 1 53
2 1 2 0 1 | 1 54
2 1 2 0 2 | 1 55
2 1 2 1 0 | 1 56
2 1 2 1 1 | 1 57
2 1 2 1 2 | 1 58
2 1 2 2 0 | 1 59
2 1 2 2 1 | 1 60
2 1 2 2 2 | 1 61
2 2 0 0 1 | 1 62
2 2 0 1 0 | 1 63
2 2 0 1 1 | 1 64
2 2 0 1 2 | 1 65
2 2 0 2 1 | 1 66
2 2 1 0 0 | 1 67
2 2 1 0 1 | 1 68
2 2 1 0 2 | 1 69
2 2 1 1 0 | 1 70
2 2 1 1 1 | 1 71
2 2 1 1 2 | 1 72
2 2 1 2 0 | 1 73
2 2 1 2 1 | 1 74
2 2 1 2 2 | 1 75
2 2 2 0 1 | 1 76
2 2 2 1 0 | 1 77
2 2 2 1 1 | 1 78
2 2 2 1 2 | 1 79
2 2 2 2 1 | 1 80
3 0 0 1 0 | 1 81
3 0 0 1 3 | 1 82
3 0 0 2 0 | 1 83
3 0 0 2 3 | 1 84
3 0 1 0 0 | 1 85
3 0 1 0 2 | 1 86
3 0 1 0 3 | 1 87
3 0 1 2 1 | 1 88
3 0 1 3 0 | 1 89
3 0 1 3 2 | 1 90
3 0 1 3 3 | 1 91
3 0 2 0 0 | 1 92
3 0 2 0 1 | 1 93
3 0 2 0 3 | 1 94
3 0 2 1 2 | 1 95
3 0 2 3 0 | 1 96
3 0 2 3 1 | 1 97
3 0 2 3 3 | 1 98
3 0 3 1 0 | 1 99
3 0 3 1 3 | 1 100
3 0 3 2 0 | 1 101
3 0 3 2 3 | 1 102
3 1 0 1 0 | 1 103
3 1 0 1 1 | 1 104
3 1 0 1 3 | 1 105
3 1 0 2 2 | 1 106
3 1 1 0 1 | 1 107
3 1 1 0 2 | 1 108
3 1 1 1 1 | 1 109
3 1 1 1 2 | 1 110
3 1 1 2 1 | 1 111
3 1 1 2 2 | 1 112
3 1 1 3 1 | 1 113
3 1 1 3 2 | 1 114
3 1 2 1 1 | 1 115
3 1 2 2 0 | 1 116
3 1 2 2 2 | 1 117
3 1 2 2 3 | 1 118
3 1 3 1 0 | 1 119
3 1 3 1 1 | 1 120
3 1 3 1 3 | 1 121
3 1 3 2 2 | 1 122
3 2 0 1 1 | 1 123
3 2 0 2 0 | 1 124
3 2 0 2 2 | 1 125
3 2 0 2 3 | 1 126
3 2 1 1 0 | 1 127
3 2 1 1 1 | 1 128
3 2 1 1 3 | 1 129
3 2 1 2 2 | 1 130
3 2 2 0 1 | 1 131
3 2 2 0 2 | 1 132
3 2 2 1 1 | 1 133
3 2 2 1 2 | 1 134
3 2 2 2 1 | 1 135
3 2 2 2 2 | 1 136
3 2 2 3 1 | 1 137
3 2 2 3 2 | 1 138
3 2 3 1 1 | 1 139
3 2 3 2 0 | 1 140
3 2 3 2 2 | 1 141
3 2 3 2 3 | 1 142
3 3 0 1 0 | 1 143
3 3 0 1 3 | 1 144
3 3 0 2 0 | 1 145
3 3 0 2 3 | 1 146
3 3 1 0 0 | 1 147
3 3 1 0 2 | 1 148
3 3 1 0 3 | 1 149
3 3 1 2 1 | 1 150
3 3 1 3 0 | 1 151
3 3 1 3 2 | 1 152
3 3 1 3 3 | 1 153
3 3 2 0 0 | 1 154
3 3 2 0 1 | 1 155
3 3 2 0 3 | 1 156
3 3 2 1 2 | 1 157
3 3 2 3 0 | 1 158
3 3 2 3 1 | 1 159
3 3 2 3 3 | 1 160
3 3 3 1 0 | 1 161
3 3 3 1 3 | 1 162
3 3 3 2 0 | 1 163
3 3 3 2 3 | 1 164
4 0 0 0 1 | 2 0 16
4 0 0 0 3 | 2 1 16
4 0 0 1 2 | 2 0 19
4 0 0 1 3 | 2 1 18
4 0 0 3 1 | 2 2 18
4 0 0 3 2 | 2 2 19
4 0 0 4 1 | 2 2 20
4 0 0 4 3 | 2 3 20
4 0 1 0 0 | 1 165
4 0 1 0 2 | 2 0 23
4 0 1 0 4 | 1 166
4 0 1 1 0 | 2 0 24
4 0 1 1 1 | 2 0 25
4 0 1 1 4 | 2 1 26
4 0 1 2 0 | 2 0 27
4 0 1 2 1 | 2 0 28
4 0 1 2 2 | 2 0 29
4 0 1 2 3 | 2 1 28
4 0 1 2 4 | 2 1 29
4 0 1 3 0 | 2 2 24
4 0 1 3 3 | 2 3 25
4 0 1 3 4 | 2 3 26
4 0 1 4 0 | 1 167
4 0 1 4 2 | 2 2 29
4 0 1 4 4 | 1 168
4 0 2 0 1 | 2 0 30
4 0 2 0 3 | 2 1 30
4 0 2 1 2 | 2 0 33
4 0 2 1 3 | 2 1 32
4 0 2 3 1 | 2 2 32
4 0 2 3 2 | 2 2 33
4 0 2 4 1 | 2 2 34
4 0 2 4 3 | 2 3 34
4 0 3 0 0 | 1 169
4 0 3 0 2 | 2 4 23
4 0 3 0 4 | 1 170
4 0 3 1 0 | 2 4 24
4 0 3 1 1 | 2 4 25
4 0 3 1 4 | 2 5 26
4 0 3 2 0 | 2 4 27
4 0 3 2 1 | 2 4 28
4 0 3 2 2 | 2 4 29
4 0 3 2 3 | 2 5 28
4 0 3 2 4 | 2 5 29
4 0 3 3 0 | 2 6 24
4 0 3 3 3 | 2 7 25
4 0 3 3 4 | 2 7 26
4 0 3 4 0 | 1 171
4 0 3 4 2 | 2 6 29
4 0 3 4 4 | 1 172
4 0 4 0 1 | 2 4 30
4 0 4 0 3 | 2 5 30
4 0 4 1 2 | 2 4 33
4 0 4 1 3 | 2 5 32
4 0 4 3 1 | 2 6 32
4 0 4 3 2 | 2 6 33
4 0 4 4 1 | 2 6 34
4 0 4 4 3 | 2 7 34
4 1 0 0 0 | 2 0 35
4 1 0 0 1 | 2 0 36
4 1 0 0 2 | 2 0 37
4 1 0 0 3 | 2 1 36
4 1 0 0 4 | 2 1 37
4 1 0 1 0 | 2 0 38
4 1 0 1 3 | 2 1 39
4 1 0 1 4 | 2 1 40
4 1 0 2 0 | 1 173
4 1 0 2 2 | 2 0 43
4 1 0 2 4 | 1 174
4 1 0 3 0 | 2 2 38
4 1 0 3 1 | 2 2 39
4 1 0 3 4 | 2 3 40
4 1 0 4 0 | 2 2 41
4 1 0 4 1 | 2 2 42
4 1 0 4 2 | 2 2 43
4 1 0 4 3 | 2 3 42
4 1 0 4 4 | 2 3 43
4 1 1 0 0 | 1 175
4 1 1 0 1 | 2 0 45
4 1 1 0 2 | 1 176
4 1 1 0 3 | 2 1 45
4 1 1 0 4 | 1 177
4 1 1 1 0 | 2 0 47
4 1 1 1 3 | 2 1 48
4 1 1 1 4 | 2 1 49
4 1 1 2 0 | 2 0 50
4 1 1 2 2 | 1 178
4 1 1 2 4 | 2 1 52
4 1 1 3 0 | 2 2 47
4 1 1 3 1 | 2 2 48
4 1 1 3 4 | 2 3 49
4 1 1 4 0 | 1 179
4 1 1 4 1 | 2 2 51
4 1 1 4 2 | 1 180
4 1 1 4 3 | 2 3 51
4 1 1 4 4 | 1 181
4 1 2 0 0 | 1 182
4 1 2 0 1 | 2 0 54
4 1 2 0 2 | 1 183
4 1 2 0 3 | 2 1 54
4 1 2 0 4 | 1 184
4 1 2 1 0 | 2 0 56
4 1 2 1 3 | 2 1 57
4 1 2 1 4 | 2 1 58
4 1 2 2 0 | 2 0 59
4 1 2 2 2 | 1 185
4 1 2 2 4 | 2 1 61
4 1 2 3 0 | 2 2 56
4 1 2 3 1 | 2 2 57
4 1 2 3 4 | 2 3 58
4 1 2 4 0 | 1 186
4 1 2 4 1 | 2 2 60
4 1 2 4 2 | 1 187
4 1 2 4 3 | 2 3 60
4 1 2 4 4 | 1 188
4 1 3 0 0 | 2 4 44
4 1 3 0 1 | 2 4 45
4 1 3 0 2 | 2 4 46
4 1 3 0 3 | 2 5 45
4 1 3 0 4 | 2 5 46
4 1 3 1 0 | 2 4 47
4 1 3 1 3 | 2 5 48
4 1 3 1 4 | 2 5 49
4 1 3 2 0 | 1 189
4 1 3 2 2 | 2 4 52
4 1 3 2 4 | 1 190
4 1 3 3 0 | 2 6 47
4 1 3 3 1 | 2 6 48
4 1 3 3 4 | 2 7 49
4 1 3 4 0 | 2 6 50
4 1 3 4 1 | 2 6 51
4 1 3 4 2 | 2 6 52
4 1 3 4 3 | 2 7 51
4 1 3 4 4 | 2 7 52
4 1 4 0 0 | 2 4 53
4 1 4 0 1 | 2 4 54
4 1 4 0 2 | 2 4 55
4 1 4 0 3 | 2 5 54
4 1 4 0 4 | 2 5 55
4 1 4 1 0 | 2 4 56
4 1 4 1 3 | 2 5 57
4 1 4 1 4 | 2 5 58
4 1 4 2 0 | 1 191
4 1 4 2 2 | 2 4 61
4 1 4 2 4 | 1 192
4 1 4 3 0 | 2 6 56
4 1 4 3 1 | 2 6 57
4 1 4 3 4 | 2 7 58
4 1 4 4 0 | 2 6 59
4 1 4 4 1 | 2 6 60
4 1 4 4 2 | 2 6 61
4 1 4 4 3 | 2 7 60
4 1 4 4 4 | 2 7 61
4 2 0 0 1 | 2 0 62
4 2 0 0 3 | 2 1 62
4 2 0 1 2 | 2 0 65
4 2 0 1 3 | 2 1 64
4 2 0 3 1 | 2 2 64
4 2 0 3 2 | 2 2 65
4 2 0 4 1 | 2 2 66
4 2 0 4 3 | 2 3 66
4 2 1 0 0 | 2 0 67
4 2 1 0 2 | 1 193
4 2 1 0 4 | 2 1 69
4 2 1 1 0 | 2 0 70
4 2 1 1 1 | 2 0 71
4 2 1 1 4 | 2 1 72
4 2 1 2 0 | 1 194
4 2 1 2 1 | 2 0 74
4 2 1 2 2 | 1 195
4 2 1 2 3 | 2 1 74
4 2 1 2 4 | 1 196
4 2 1 3 0 | 2 2 70
4 2 1 3 3 | 2 3 71
4 2 1 3 4 | 2 3 72
4 2 1 4 0 | 2 2 73
4 2 1 4 2 | 1 197
4 2 1 4 4 | 2 3 75
4 2 2 0 1 | 2 0 76
4 2 2 0 3 | 2 1 76
4 2 2 1 2 | 2 0 79
4 2 2 1 3 | 2 1 78
4 2 2 3 1 | 2 2 78
4 2 2 3 2 | 2 2 79
4 2 2 4 1 | 2 2 80
4 2 2 4 3 | 2 3 80
4 2 3 0 0 | 2 4 67
4 2 3 0 2 | 1 198
4 2 3 0 4 | 2 5 69
4 2 3 1 0 | 2 4 70
4 2 3 1 1 | 2 4 71
4 2 3 1 4 | 2 5 72
4 2 3 2 0 | 1 199
4 2 3 2 1 | 2 4 74
4 2 3 2 2 | 1 200
4 2 3 2 3 | 2 5 74
4 2 3 2 4 | 1 201
4 2 3 3 0 | 2 6 70
4 2 3 3 3 | 2 7 71
4 2 3 3 4 | 2 7 72
4 2 3 4 0 | 2 6 73
4 2 3 4 2 | 1 202
4 2 3 4 4 | 2 7 75
